short,long,sl,tp,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct
20,150,0.02,0.02,-8.15,-100,23.88,156,46.3
30,100,0.005,0.005,-8.16,-100,28.14,194,46.59
10,150,0.01,0.005,-8.24,-100,31.92,230,46.25
10,150,0.02,0.005,-8.24,-100,31.92,230,46.25
10,150,0.01,0.01,-8.26,-100,29.65,208,46.34
10,150,0.02,0.01,-8.26,-100,29.65,208,46.34
40,200,0,0,-8.33,-100,99.98,5644,23.52
20,150,0.005,0.01,-8.47,-100,25.57,170,46.23
10,150,0.005,0.01,-8.48,-100,30.14,212,46.33
20,100,0,0.01,-8.52,-100,77.92,980,43.55
30,100,0.01,0.005,-8.59,-100,27.64,188,46.62
30,100,0.02,0.005,-8.59,-100,27.64,188,46.62
10,150,0.005,0.02,-8.63,-100,28.72,198,46.38
10,150,0.01,0.02,-8.63,-100,28.72,198,46.38
10,150,0.02,0.02,-8.63,-100,28.72,198,46.38
40,100,0.005,0.005,-8.7,-100,25.02,164,46.71
30,100,0,0.02,-8.76,-100,75.51,910,43.5
10,100,0,0.02,-8.9,-100,76.6,940,44.34
50,150,0,0,-8.95,-100,99.98,5612,23.38
40,100,0,0.02,-8.97,-100,73.39,854,43.7
50,100,0.02,0,-9.1,-100,86.48,1306,41.57
30,100,0.01,0.01,-9.14,-100,25.42,166,46.71
30,100,0.02,0.01,-9.14,-100,25.42,166,46.71
40,100,0.01,0.005,-9.18,-100,24.29,156,46.74
40,100,0.02,0.005,-9.18,-100,24.29,156,46.74
50,100,0.01,0,-9.24,-100,86.73,1318,41.52
50,100,0.005,0,-9.26,-100,88.02,1386,41.23
40,100,0,0.005,-9.27,-100,84.59,1218,42.18
30,100,0.005,0.01,-9.36,-100,25.94,170,46.69
30,100,0.005,0.02,-9.43,-100,24.62,158,46.74
30,100,0.01,0.02,-9.43,-100,24.62,158,46.74
30,100,0.02,0.02,-9.43,-100,24.62,158,46.74
40,100,0.01,0.01,-9.44,-100,22.1,136,46.83
40,100,0.02,0.01,-9.44,-100,22.1,136,46.83
20,100,0,0.02,-9.5,-100,76.1,924,43.78
10,100,0,0,-9.54,-100,99.98,5782,24.09
30,100,0,0.005,-9.6,-100,86.1,1286,41.91
