short,long,vol_target,atr_win,k,sl,tp,cooldown,sharpe,cagr_pct,max_dd_pct,trades,exposure_pct,avg_pos_size
5,150,0.15,21,0.5,1ATR,3ATR,5,-6.49,-100,78.41,1016,28.96,0.121
5,50,0.2,21,1,2ATR,2ATR,0,-6.5,-100,90.78,1574,43.12,0.36
5,50,0.1,21,0.5,1ATR,0,0,-6.51,-100,61.44,630,47.06,0.133
5,100,0.1,21,0.5,1ATR,2ATR,5,-6.52,-100,84.25,1228,26.15,0.075
5,50,0.2,14,1,2ATR,2ATR,0,-6.53,-100,90.59,1560,43.18,0.356
5,150,0.1,21,1,1ATR,3ATR,5,-6.54,-100,78.46,1016,28.96,0.155
5,150,0.2,21,0.5,1ATR,3ATR,5,-6.54,-100,78.46,1016,28.96,0.155
5,50,0.1,14,1,1ATR,0,0,-6.59,-100,61.8,632,47.02,0.247
5,50,0.2,14,0.5,1ATR,0,0,-6.59,-100,61.8,632,47.02,0.247
20,50,0.15,14,0.5,1ATR,3ATR,5,-6.59,-100,78.54,1020,30.42,0.125
10,50,0.1,21,1,2ATR,3ATR,5,-6.6,-100,71.72,834,35.38,0.182
10,50,0.2,21,0.5,2ATR,3ATR,5,-6.6,-100,71.72,834,35.38,0.182
20,150,0.2,21,1,2ATR,2ATR,5,-6.6,-100,75.15,916,29.19,0.247
5,50,0.2,14,1,1ATR,0,0,-6.61,-100,62.17,632,47.02,0.39
5,50,0.1,21,0.5,2ATR,0,0,-6.62,-100,53.41,504,47.72,0.135
20,50,0.15,14,1,2ATR,2ATR,5,-6.63,-100,78.69,1020,30.63,0.22
5,50,0.15,21,0.5,2ATR,0,5,-6.65,-100,50.09,456,46.07,0.189
10,100,0.1,14,0.5,1ATR,3ATR,5,-6.66,-100,77.9,1002,29.41,0.082
5,50,0.1,21,1,2ATR,0,5,-6.7,-100,50.25,456,46.07,0.242
5,50,0.2,21,0.5,2ATR,0,5,-6.7,-100,50.25,456,46.07,0.242
5,50,0.15,21,1,2ATR,0,0,-6.72,-100,54,504,47.72,0.34
5,50,0.15,21,1,1ATR,2ATR,0,-6.74,-100,95.8,2100,40.79,0.292
5,50,0.15,14,1,1ATR,0,0,-6.75,-100,62.01,632,47.02,0.331
20,150,0.2,14,1,2ATR,3ATR,0,-6.76,-100,80.82,1086,42,0.345
5,50,0.1,21,0.5,2ATR,0,5,-6.78,-100,49.93,456,46.07,0.129
5,50,0.15,14,0.5,1ATR,0,0,-6.78,-100,61.69,632,47.02,0.192
5,100,0.2,21,1,1ATR,2ATR,0,-6.79,-100,95.26,2016,40.17,0.339
10,50,0.1,14,1,2ATR,2ATR,5,-6.79,-100,79.12,1036,31.13,0.164
10,50,0.2,14,0.5,2ATR,2ATR,5,-6.79,-100,79.12,1036,31.13,0.164
5,100,0.15,21,1,2ATR,3ATR,5,-6.8,-100,71.1,816,35.28,0.249
5,50,0.1,21,1,2ATR,2ATR,5,-6.86,-100,80.74,1090,31.88,0.167
5,50,0.2,21,0.5,2ATR,2ATR,5,-6.86,-100,80.74,1090,31.88,0.167
10,100,0.1,14,1,1ATR,3ATR,5,-6.9,-100,78.01,1002,29.41,0.155
10,100,0.2,14,0.5,1ATR,3ATR,5,-6.9,-100,78.01,1002,29.41,0.155
5,50,0.2,21,1,2ATR,0,0,-6.93,-100,54.25,504,47.72,0.4
10,150,0.1,21,0.5,1ATR,3ATR,5,-6.94,-100,77.09,978,28.06,0.079
5,100,0.2,21,1,2ATR,2ATR,0,-7.01,-100,89.24,1470,42.57,0.357
10,150,0.1,21,1,1ATR,3ATR,5,-7.04,-100,77.2,978,28.06,0.149
10,150,0.2,21,0.5,1ATR,3ATR,5,-7.04,-100,77.2,978,28.06,0.149
5,50,0.15,21,1,2ATR,0,5,-7.06,-100,50.55,456,46.07,0.323
10,100,0.15,14,0.5,1ATR,3ATR,5,-7.08,-100,77.96,1002,29.41,0.12
5,50,0.15,21,0.5,2ATR,2ATR,5,-7.09,-100,80.69,1090,31.88,0.13
20,150,0.1,21,1,1ATR,3ATR,5,-7.1,-100,77.61,990,27.36,0.147
20,150,0.2,21,0.5,1ATR,3ATR,5,-7.1,-100,77.61,990,27.36,0.147
5,50,0.1,21,0.5,2ATR,2ATR,5,-7.11,-100,80.64,1090,31.88,0.089
5,50,0.15,14,1,2ATR,0,5,-7.12,-100,50.86,460,46.04,0.323
5,50,0.15,14,1,2ATR,3ATR,5,-7.12,-100,74.53,900,36.35,0.252
5,50,0.1,14,1,2ATR,0,5,-7.13,-100,50.58,460,46.04,0.24
5,50,0.2,14,0.5,2ATR,0,5,-7.13,-100,50.58,460,46.04,0.24
5,50,0.15,14,1,2ATR,2ATR,0,-7.14,-100,90.56,1560,43.18,0.302
5,100,0.15,21,1,2ATR,2ATR,5,-7.14,-100,78.34,1008,31.16,0.225
10,150,0.15,21,0.5,1ATR,3ATR,5,-7.15,-100,77.15,978,28.06,0.116
20,50,0.15,14,0.5,2ATR,2ATR,5,-7.19,-100,78.56,1020,30.63,0.127
5,50,0.1,14,0.5,1ATR,0,0,-7.2,-100,61.57,632,47.02,0.13
5,50,0.1,14,1,2ATR,3ATR,0,-7.22,-100,83.57,1194,44.71,0.226
5,50,0.2,14,0.5,2ATR,3ATR,0,-7.22,-100,83.57,1194,44.71,0.226
